"scope","metric","n_mut","n_wt","median_mut","median_wt","delta","ci_lo","ci_hi","wilcox_p","effect_r","lm_beta","lm_p","lm_r2adj","comparison","analysis","drug","drug_combo"
"pancancer","ATM_effect",764,414,-0.0523940051560695,0.0773535819103353,-0.151793265731055,-0.176192607147302,-0.127988533232014,8.20053031410589e-37,0.446765055517616,-0.136491496175493,4.74907850319368e-30,0.188756489151181,"all_TP53","DepMap_CRISPR_ATM_KO",NA,NA
"gastric","ATM_effect",60,9,-0.0715786512300716,0.0537957577497956,-0.101673547420419,-0.203488337006111,-0.00227161186548429,0.0678073204411826,0.381481481481482,NA,NA,NA,"all_TP53","DepMap_CRISPR_ATM_KO",NA,NA
"pancancer","LN_IC50",618,304,5.0904315,5.1376015,0.0214481768650998,-0.141320776931103,0.190687177459121,0.869301714868053,-0.00666411173564985,-0.124228770443212,0.0855212016485241,0.303104586334784,NA,"GDSC2_KU55933","KU-55933",NA
"gastric","LN_IC50",53,10,5.219266,5.364183,0.213094803773585,-0.436669020943396,0.909173416320754,0.858185626192302,-0.0377358490566038,NA,NA,NA,NA,"GDSC2_KU55933","KU-55933",NA
"pancancer","AUC",618,304,0.9763885,0.977648,-0.0010250404530745,-0.00384810296505072,0.00181446627544282,0.795545391992127,0.0104911854879918,-0.00175047798664223,0.269738228748337,0.0333957412318068,NA,"GDSC2_KU55933","KU-55933",NA
"gastric","AUC",53,10,0.975663,0.9804295,7.09471698113751e-05,-0.00999298386792452,0.0128230369339623,0.713788377418551,0.0754716981132075,NA,NA,NA,NA,"GDSC2_KU55933","KU-55933",NA
"pancancer","lib1_IC50_ln",474,231,2.76953829304668,2.76308083729875,0.0303504743643352,-0.171551288669668,0.221371673760797,0.804575277770816,-0.0114800811003342,-0.0563986951658723,0.512612167647186,0.320836103964297,NA,"PRISM_AZD0156","AZD0156",NA
"gastric","lib1_IC50_ln",45,9,2.74332657199805,2.90906747971846,-0.00126711080945929,-0.595012306107673,0.626182742977158,0.870933798974081,0.0370370370370371,NA,NA,NA,NA,"PRISM_AZD0156","AZD0156",NA
"pancancer","lib1_MaxE",474,231,0.102331304919224,0.100193961578269,-0.0127194877419742,-0.0261317901626407,0.000481431129988672,0.191250523051741,0.0605969276855353,-0.0118439354289703,0.0716850517867371,0.164042047933056,NA,"PRISM_AZD0156","AZD0156",NA
"gastric","lib1_MaxE",45,9,0.111482418361187,0.0783788549757866,0.0318974310492447,-0.00639273027315368,0.0629389837974898,0.0946929425994759,-0.358024691358025,NA,NA,NA,NA,"PRISM_AZD0156","AZD0156",NA
"pancancer","Bliss_window",474,231,0.0886491603123759,0.0963069569255612,-0.00386276487553629,-0.015977111375064,0.00881917331863385,0.468721496462404,0.0336000146126728,0.00414445692241629,0.510048971877226,0.146504391813007,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"gastric","Bliss_window",45,9,0.10788748252442,0.105504732333014,0.0126839294232559,-0.0409299067866834,0.0672102177654847,0.693155813661507,-0.0864197530864197,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"pancancer","HSA_window",474,231,0.106029892354195,0.115619996064747,-0.00662773284977682,-0.0189147199503257,0.00652702311059713,0.271314628525055,0.0510073611339434,-0.000117881782651928,0.985484455096862,0.121268236307606,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"gastric","HSA_window",45,9,0.119646529370547,0.105877678307652,0.0114774037672391,-0.0442504134532798,0.0650710249964124,0.593453520213895,-0.116049382716049,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"pancancer","combo_MaxE",474,231,0.533860676151806,0.552052622536081,-0.0188699328889324,-0.0585648294648816,0.0225959289392839,0.396282045306079,0.0393354887025773,0.0240019714461161,0.18402967093966,0.34706092121055,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"gastric","combo_MaxE",45,9,0.552549332565093,0.477820754475946,0.06531967434034,-0.0542844826813406,0.18273202005113,0.403395304892628,-0.180246913580247,NA,NA,NA,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
"pancancer","Delta_MaxE_AZD0156",474,231,0.388690888377696,0.407638839158933,-0.0122208383587175,-0.0481265238805588,0.0241630792172127,0.447242285313699,0.0352439403072314,0.0310825205351287,0.0785062693694366,0.28665945163576,NA,"PRISM_Combo_AZD0156+AZD1775",NA,"AZD0156+AZD1775"
