cohort	seq_type	gene_b	model	model_label	n	n_tp53	n_gene	n_both	OR	CI_lo	CI_hi	beta	se	p_value	status
FDU	panel	ATM	A	A: base (TMB only)	402	237	29	9	0.26105595306093804	0.11330230762903036	0.6014900495379956	-1.3430205150916306	0.4258547084902652	0.0016121144931870556	ok
FDU	panel	ATM	B	B: + stage	390	232	27	9	0.28964002217835205	0.12385719613357339	0.6773231194173324	-1.2391164298893889	0.4334232608282761	0.004251045192754252	ok
FDU	panel	ATM	C	C: + stage + histology	381	225	27	9	0.2905576763458101	0.12221625526933914	0.6907736053393564	-1.2359531807590534	0.44184185637152573	0.005153564742358302	ok
FDU	panel	ARID1A	A	A: base (TMB only)	402	237	74	33	0.40286309019708744	0.22908215074299235	0.7084736585402054	-0.9091585013136899	0.2880184191713934	0.0015962098201601773	ok
FDU	panel	ARID1A	B	B: + stage	390	232	71	33	0.3977043490636977	0.2233318108863508	0.7082231081924487	-0.9220463912896935	0.294413408635492	0.001737332033825494	ok
FDU	panel	ARID1A	C	C: + stage + histology	381	225	71	33	0.45869662830347807	0.25218113181076723	0.8343312416206535	-0.7793662279543626	0.305225226880606	0.010667275814986556	ok
TCGA_STAD	WXS	ATM	A	A: base (TMB only)	431	197	42	14	0.42824856230011904	0.20505871716006596	0.8943625204139065	-0.8480514989344617	0.3757180697704449	0.02399879363469949	ok
TCGA_STAD	WXS	ATM	B	B: + stage	405	184	39	13	0.4638922891632164	0.21655211391921303	0.9937379601169364	-0.7681028891275824	0.38868426552805807	0.048136486504895444	ok
TCGA_STAD	WXS	ATM	C	C: + stage + histology	403	184	39	13	0.46232621189337364	0.21559175726255858	0.9914364487662971	-0.7714845507127914	0.389226592645988	0.04746847464049618	ok
TCGA_STAD	WXS	ARID1A	A	A: base (TMB only)	431	197	116	32	0.17774550392485625	0.09765776660195838	0.3235120489113001	-1.7274025049936246	0.3055528493542208	1.5733453634084382e-8	ok
TCGA_STAD	WXS	ARID1A	B	B: + stage	405	184	108	29	0.17806107852037464	0.09603514012068831	0.33014735693616	-1.7256286497934337	0.3150063580481621	4.299763863423101e-8	ok
TCGA_STAD	WXS	ARID1A	C	C: + stage + histology	403	184	108	29	0.18040709044451986	0.09749094242852484	0.333843508657419	-1.7125393681098109	0.3140083853840832	4.930426891023639e-8	ok
OncoSG_2018	WXS	ATM	A	A: base (TMB only)	147	67	9	3	0.5093438581850467	0.1136261181545374	2.2832001135336606	-0.6746319341614009	0.7654132406262804	0.3781036876666643	ok
OncoSG_2018	WXS	ATM	B	B: + stage	102	44	5	2	0.7794358321614197	0.11728481123486952	5.179871204640223	-0.2491849131011741	0.9663087270889711	0.7965049369652759	ok
OncoSG_2018	WXS	ATM	C	C: + stage + histology	91	41	5	2	0.839729318805882	0.1244586772234732	5.66569840362403	-0.17467567859189426	0.9740335966486569	0.8576767915009292	ok
OncoSG_2018	WXS	ARID1A	A	A: base (TMB only)	147	67	17	4	0.27581553147223825	0.08011392811854502	0.9495753009232777	-1.2880230009509523	0.6307564055848516	0.04114863452078848	ok
OncoSG_2018	WXS	ARID1A	B	B: + stage	102	44	15	4	0.3190653733810719	0.08156469751804694	1.2481222341108795	-1.1423592649639678	0.695918099037809	0.10069077452333308	ok
OncoSG_2018	WXS	ARID1A	C	C: + stage + histology	91	41	15	4	0.3513426742329293	0.08855368931256967	1.3939755158187912	-1.0459932519016195	0.7031392857707455	0.13685519363021395	ok
HK_Pfizer	WXS	ATM	A	A: base (TMB only)	100	55	7	2	0.3352750759203755	0.06068431902294106	1.8523628235972847	-1.0928039619430576	0.87207448369856	0.21016621730643184	ok
HK_Pfizer	WXS	ATM	B	B: + stage	99	54	7	2	0.377151842353413	0.06689508018305704	2.1263673173173157	-0.9751074077589572	0.8824094115601041	0.26913748847854585	ok
HK_Pfizer	WXS	ATM	C	C: + stage + histology	99	54	7	2	0.38673846500075704	0.06761707334935828	2.2119656013263582	-0.9500066154404412	0.8897388510419191	0.2856394048243781	ok
HK_Pfizer	WXS	ARID1A	A	A: base (TMB only)	100	55	18	4	0.17201663680306903	0.046438665319898965	0.6371785910126008	-1.7601640812470647	0.6680912148979437	0.008423241357554331	ok
HK_Pfizer	WXS	ARID1A	B	B: + stage	99	54	18	4	0.18330150211338478	0.047836164954862	0.7023857516322113	-1.69662292933435	0.6853828608192413	0.013307278238509832	ok
HK_Pfizer	WXS	ARID1A	C	C: + stage + histology	99	54	18	4	0.17864082036223825	0.046630065221128274	0.6843769689868195	-1.7223780791956746	0.6852712705472607	0.011956513061486646	ok
TMUCIH_2015	WXS	ATM	A	A: base (TMB only)	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	too_few_mutations
TMUCIH_2015	WXS	ATM	B	B: + stage	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	too_few_mutations
TMUCIH_2015	WXS	ARID1A	A	A: base (TMB only)	78	36	17	3	0.13019646540460766	0.029928725832255337	0.5663829358744141	-2.038710697006215	0.7501152207190714	0.006570496011254159	ok
TMUCIH_2015	WXS	ARID1A	B	B: + stage	78	36	17	3	0.11070390556820105	0.02444885645068782	0.5012649459810786	-2.200896159237671	0.7705488142093843	0.0042864922184032836	ok
MSK_2017	panel	ATM	A	A: base (TMB only)	133	NA	NA	NA	NA	NA	NA	NA	NA	NA	too_few_mutations
MSK_2017	panel	ATM	B	B: + stage	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	too_few_mutations
MSK_2017	panel	ATM	C	C: + stage + histology	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	too_few_mutations
MSK_2017	panel	ARID1A	A	A: base (TMB only)	133	88	21	12	0.46631256788529585	0.16785755761085408	1.2954281836501471	-0.7628991231714394	0.5212961262334851	0.1433399280722798	ok
MSK_2017	panel	ARID1A	B	B: + stage	104	68	18	10	0.43958748799569836	0.1442200389742788	1.3398773220192481	-0.8219185191059121	0.5686207031356141	0.148328702150023	ok
MSK_2017	panel	ARID1A	C	C: + stage + histology	104	68	18	10	0.42673814436803165	0.13890829201710866	1.3109760491205376	-0.8515846989049001	0.5726309358935796	0.13697676495950387	ok
MSK_2023	panel	ATM	A	A: base (TMB only)	278	180	16	4	0.14201559001685077	0.04215848438509889	0.47839546658282767	-1.9518184385561694	0.6196433091628015	0.0016332276679014532	ok
MSK_2023	panel	ATM	B	B: + stage	277	180	16	4	0.13867293072143758	0.04107202674614047	0.46820630093886645	-1.9756371349373685	0.6208116677116731	0.0014608750122016903	ok
MSK_2023	panel	ATM	C	C: + stage + histology	265	173	15	4	0.1407097908853213	0.04096223131333973	0.4833536801141748	-1.9610557303225036	0.629616884688153	0.0018414395715841366	ok
MSK_2023	panel	ARID1A	A	A: base (TMB only)	278	180	52	24	0.2942018157881266	0.14320697863910223	0.604402866644917	-1.2234892988823622	0.36733418022825765	8.661999225642605e-4	ok
MSK_2023	panel	ARID1A	B	B: + stage	277	180	52	24	0.28666352329129996	0.13917864980681938	0.5904352118650549	-1.2494461437257194	0.3686483555838027	7.008082077553554e-4	ok
MSK_2023	panel	ARID1A	C	C: + stage + histology	265	173	47	22	0.293209723385978	0.13837150335513557	0.6213124798350392	-1.2268671465386947	0.38313571993545753	0.0013639470076946465	ok
